<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.RTS-12.18;1;05.10.2018;12:21;114860;114990;114860;114960;709
SPFB.RTS-12.18;1;05.10.2018;12:22;114960;115000;114940;114960;541
SPFB.RTS-12.18;1;05.10.2018;12:23;114970;114990;114920;114920;380
SPFB.RTS-12.18;1;05.10.2018;12:24;114920;114960;114880;114910;576
SPFB.RTS-12.18;1;05.10.2018;12:25;114920;114930;114780;114780;1020
SPFB.RTS-12.18;1;05.10.2018;12:26;114780;114820;114700;114800;1067
SPFB.RTS-12.18;1;05.10.2018;12:27;114800;114910;114800;114910;1599
SPFB.RTS-12.18;1;05.10.2018;12:28;114890;115090;114880;115060;1482
SPFB.RTS-12.18;1;05.10.2018;12:29;115060;115110;114970;115110;2305
SPFB.RTS-12.18;1;05.10.2018;12:30;115120;115170;115070;115120;1510
SPFB.RTS-12.18;1;05.10.2018;12:31;115110;115180;115060;115170;2222
SPFB.RTS-12.18;1;05.10.2018;12:32;115170;115280;115150;115190;2062
SPFB.RTS-12.18;1;05.10.2018;12:33;115190;115190;115150;115180;354
SPFB.RTS-12.18;1;05.10.2018;12:34;115180;115180;115100;115120;815
SPFB.RTS-12.18;1;05.10.2018;12:35;115110;115170;115060;115120;892
SPFB.RTS-12.18;1;05.10.2018;12:36;115130;115170;115090;115130;536
SPFB.RTS-12.18;1;05.10.2018;12:37;115130;115130;115030;115050;883
SPFB.RTS-12.18;1;05.10.2018;12:38;115060;115100;115040;115100;452
SPFB.RTS-12.18;1;05.10.2018;12:39;115100;115140;115090;115120;435
SPFB.RTS-12.18;1;05.10.2018;12:40;115110;115140;115070;115110;258
SPFB.RTS-12.18;1;05.10.2018;12:41;115130;115130;115060;115130;223
SPFB.RTS-12.18;1;05.10.2018;12:42;115130;115170;115120;115150;459
SPFB.RTS-12.18;1;05.10.2018;12:43;115160;115180;115100;115160;424
SPFB.RTS-12.18;1;05.10.2018;12:44;115170;115200;115080;115080;637
SPFB.RTS-12.18;1;05.10.2018;12:45;115090;115190;115060;115120;594
SPFB.RTS-12.18;1;05.10.2018;12:46;115120;115130;115040;115040;396
SPFB.RTS-12.18;1;05.10.2018;12:47;115040;115050;114860;114910;1587
SPFB.RTS-12.18;1;05.10.2018;12:48;114920;114990;114890;114960;788
SPFB.RTS-12.18;1;05.10.2018;12:49;114970;115000;114930;114970;233
SPFB.RTS-12.18;1;05.10.2018;12:50;114970;114990;114890;114930;222
SPFB.RTS-12.18;1;05.10.2018;12:51;114940;114960;114830;114890;897
SPFB.RTS-12.18;1;05.10.2018;12:52;114870;114910;114840;114860;461
SPFB.RTS-12.18;1;05.10.2018;12:53;114850;114880;114780;114780;730
SPFB.RTS-12.18;1;05.10.2018;12:54;114800;114800;114360;114370;6258
SPFB.RTS-12.18;1;05.10.2018;12:55;114370;114630;114340;114500;2185
SPFB.RTS-12.18;1;05.10.2018;12:56;114500;114670;114490;114610;1162
SPFB.RTS-12.18;1;05.10.2018;12:57;114600;114690;114590;114660;787
SPFB.RTS-12.18;1;05.10.2018;12:58;114650;114700;114570;114670;663
SPFB.RTS-12.18;1;05.10.2018;12:59;114660;114670;114610;114670;348
SPFB.RTS-12.18;1;05.10.2018;13:00;114670;114700;114640;114650;533
SPFB.RTS-12.18;1;05.10.2018;13:01;114640;114950;114630;114840;2187
SPFB.RTS-12.18;1;05.10.2018;13:02;114830;114930;114830;114900;780
SPFB.RTS-12.18;1;05.10.2018;13:03;114900;114920;114850;114880;942
SPFB.RTS-12.18;1;05.10.2018;13:04;114880;114930;114810;114910;1445
SPFB.RTS-12.18;1;05.10.2018;13:05;114910;114950;114870;114870;417
SPFB.RTS-12.18;1;05.10.2018;13:06;114870;114900;114830;114850;419
SPFB.RTS-12.18;1;05.10.2018;13:07;114850;114870;114800;114840;564
SPFB.RTS-12.18;1;05.10.2018;13:08;114820;114820;114690;114740;791
SPFB.RTS-12.18;1;05.10.2018;13:09;114740;114740;114640;114700;1044
SPFB.RTS-12.18;1;05.10.2018;13:10;114700;114780;114700;114760;351
SPFB.RTS-12.18;1;05.10.2018;13:11;114760;114790;114710;114730;571
SPFB.RTS-12.18;1;05.10.2018;13:12;114740;114770;114650;114720;320
SPFB.RTS-12.18;1;05.10.2018;13:13;114730;114730;114570;114600;1041
SPFB.RTS-12.18;1;05.10.2018;13:14;114600;114630;114570;114600;451
SPFB.RTS-12.18;1;05.10.2018;13:15;114600;114650;114580;114620;312
SPFB.RTS-12.18;1;05.10.2018;13:16;114630;114680;114610;114640;427
SPFB.RTS-12.18;1;05.10.2018;13:17;114640;114640;114540;114570;322
SPFB.RTS-12.18;1;05.10.2018;13:18;114580;114580;114510;114530;416
SPFB.RTS-12.18;1;05.10.2018;13:19;114530;114550;114500;114550;250
SPFB.RTS-12.18;1;05.10.2018;13:20;114530;114580;114500;114560;273
SPFB.RTS-12.18;1;05.10.2018;13:21;114570;114570;114500;114520;458
SPFB.RTS-12.18;1;05.10.2018;13:22;114510;114640;114460;114590;1258
SPFB.RTS-12.18;1;05.10.2018;13:23;114590;114600;114560;114600;578
SPFB.RTS-12.18;1;05.10.2018;13:24;114590;114640;114580;114640;330
SPFB.RTS-12.18;1;05.10.2018;13:25;114650;114740;114630;114730;1359
SPFB.RTS-12.18;1;05.10.2018;13:26;114720;114760;114700;114710;278
SPFB.RTS-12.18;1;05.10.2018;13:27;114720;114750;114720;114730;343
SPFB.RTS-12.18;1;05.10.2018;13:28;114730;114770;114710;114710;491
SPFB.RTS-12.18;1;05.10.2018;13:29;114710;114730;114680;114720;371
SPFB.RTS-12.18;1;05.10.2018;13:30;114710;114770;114700;114770;207
SPFB.RTS-12.18;1;05.10.2018;13:31;114760;114780;114720;114750;240
SPFB.RTS-12.18;1;05.10.2018;13:32;114750;114760;114670;114710;281
SPFB.RTS-12.18;1;05.10.2018;13:33;114720;114810;114720;114760;537
SPFB.RTS-12.18;1;05.10.2018;13:34;114770;114800;114770;114780;188
SPFB.RTS-12.18;1;05.10.2018;13:35;114790;114830;114730;114750;774
SPFB.RTS-12.18;1;05.10.2018;13:36;114750;114780;114660;114730;618
SPFB.RTS-12.18;1;05.10.2018;13:37;114720;114730;114670;114710;170
SPFB.RTS-12.18;1;05.10.2018;13:38;114700;114760;114680;114750;316
SPFB.RTS-12.18;1;05.10.2018;13:39;114740;114750;114700;114730;156
SPFB.RTS-12.18;1;05.10.2018;13:40;114750;114760;114710;114710;109
SPFB.RTS-12.18;1;05.10.2018;13:41;114710;114720;114680;114720;178
SPFB.RTS-12.18;1;05.10.2018;13:42;114720;114790;114720;114780;331
SPFB.RTS-12.18;1;05.10.2018;13:43;114790;114800;114760;114760;413
SPFB.RTS-12.18;1;05.10.2018;13:44;114750;114750;114690;114740;437
